"","Estimate","upperCI","Cul"
"351",25203.1307127694,26552.0298782504,"x"
"352",24497.6897203474,25213.0932249327,"x"
"353",24931.0760249583,26189.3402131712,"x"
"354",25460.5034089138,26928.7161601114,"x"
"355",24608.1192851822,25288.6802545328,"x"
"356",25268.2732254371,26781.3440396216,"x"
"357",24444.0727737301,24975.1813500594,"x"
"358",24866.647322723,25781.1975168308,"x"
"359",24728.0023535338,25399.9170665672,"x"
"360",24589.9061877132,25340.5035093504,"x"
"361",24493.6347134238,25004.3815155886,"x"
"362",24433.4003056913,24985.2323908381,"x"
"363",24568.1144695967,25279.5398341796,"x"
"364",25222.7462964493,26535.4766467561,"x"
"365",24736.6906618221,25546.7350360398,"x"
"366",24982.8567903759,26041.2569229854,"x"
"367",24562.0500472697,25276.9089760197,"x"
"368",24731.6059706743,25545.3358189099,"x"
"369",24746.7253333136,25728.2596488238,"x"
"370",24484.7925033347,25004.2493846884,"x"
"371",24394.8250823579,24910.0261661523,"x"
"372",24770.0651374238,25563.054585117,"x"
"373",24508.6364155119,25009.846976158,"x"
"374",24513.9874310083,25319.4220501563,"x"
"375",24954.4197372657,26101.8623219907,"x"
"376",24368.2894696521,24823.7838358982,"x"
"377",24380.8887474862,25114.0047494964,"x"
"378",24563.7614997419,25250.5224870709,"x"
"379",24483.9796177699,25217.7633676434,"x"
"380",24887.5670088211,26013.0176692704,"x"
"381",25006.7689894848,26120.0543030903,"x"
"382",24653.2129251327,25434.2790189639,"x"
"383",25196.3849890091,26483.791074884,"x"
"384",24889.9190920535,25865.4079655396,"x"
"385",24733.3038154223,25508.0259094909,"x"
"386",24697.496615937,25481.7649662299,"x"
"387",24683.7949359555,25549.7700883192,"x"
"388",24908.9090329243,25763.5273797696,"x"
"389",24559.9974149366,25298.7522425414,"x"
"390",24905.903494288,25913.1361377306,"x"
"391",24459.9543892229,24997.6734038423,"x"
"392",24810.0136457735,25727.5458955084,"x"
"393",24469.0083089125,24994.3305994897,"x"
"394",25184.0305018704,26533.8827332307,"x"
"395",24754.2824656206,25514.6077989457,"x"
"396",24896.0027126996,25922.0171964218,"x"
"397",25547.0058114186,27078.7952715718,"x"
"398",24556.418472989,25239.6352645891,"x"
"399",24692.2729738294,25565.4360481047,"x"
"400",24725.5920783898,25825.6929620229,"x"
"401",24791.7246771522,25741.3502644327,"x"
"402",25564.0141072847,27179.114890532,"x"
"403",25420.7773933889,26916.8317033872,"x"
"404",24435.676193466,25171.6936598186,"x"
"405",25524.5209492055,27086.4979906387,"x"
"406",24577.6723202731,25363.8410518508,"x"
"407",25152.8688847413,26410.4945300873,"x"
"408",24460.6505884991,24652.1728833309,"x"
"409",24772.3340311916,25581.3825252987,"x"
"410",24576.7172606213,25162.6476001007,"x"
"411",25110.5700019173,26258.0112805353,"x"
"412",24520.9321497775,25152.3303656143,"x"
"413",24553.4393040214,25216.0278923934,"x"
"414",24892.1415633119,25795.8740901069,"x"
"415",24550.0858912021,25239.7501124516,"x"
"416",24596.9276075514,25428.9778024321,"x"
"417",24623.1328153553,25504.6357868662,"x"
"418",24548.8184575127,25086.6297503018,"x"
"419",24620.0904276374,25210.6042646555,"x"
"420",24892.2906531997,25849.9680484769,"x"
"421",24824.3664302384,25782.8793853898,"x"
"422",24910.8776782853,25853.5407967063,"x"
"423",24358.385709293,24807.5430188988,"x"
"424",24462.789830812,24881.6137533659,"x"
"425",24376.1511866637,24765.2530104905,"x"
"426",24649.0066273527,25311.8602123186,"x"
"427",26494.4210447516,28937.2180897474,"x"
"428",24688.1841378226,25609.1338845425,"x"
"429",25248.2075959132,26506.0876173397,"x"
"430",24855.4688625094,25683.5758899645,"x"
"431",25315.254919344,26624.1772814621,"x"
"432",24430.8368472125,25141.2994674864,"x"
"433",25067.0322968031,26184.124306448,"x"
"434",24688.5330721865,25507.6557900016,"x"
"435",24609.8327109173,25438.9962989827,"x"
"436",24927.8571830772,25854.063439448,"x"
"437",24597.7237025918,25441.7358717633,"x"
"438",24517.0035799835,24997.6693142837,"x"
"439",24659.196406589,25303.9916680899,"x"
"440",24712.5212233779,25534.4223811396,"x"
"441",25163.248392588,26422.0065025178,"x"
"442",24770.5287558609,25648.2548008766,"x"
"443",24693.0426824591,25251.8214822716,"x"
"444",24656.8054755831,25349.8383215851,"x"
"445",25148.1522409333,26452.4086522637,"x"
"446",24360.5205641809,24866.0037413055,"x"
"447",24834.6639764458,25523.441303187,"x"
