"Name","Unmodelled (BP)",,"Modelled (BP)",,"Indices
Amodel 89.6
Aoverall 100.4",
,"from_95_4","to_95_4","from_95_4","to_95_4","Acomb","A","L","P","C",
"",,,,,,,,,,
"OxA-27316","11938","11524","11939","11524",,100,,,99.7,
"Pta-5205","11756","11198","11756","11197",,100,,,99.6,
"Pta-4620","11333","10760","11332","10761",,100.2,,,99.7,
"LJ-3199","10195","9559","10195","9560",,100,,,99.8,
"Pta-112","8170","7842","8170","7843",,99.8,,,99.9,
"Pta-099","11306","10770","11306","10770",,99.9,,,99.8,
"LJ-3198","10651","10190","10651","10189",,99.9,,,99.7,
"AA-6649","11201","10744","11201","10744",,99.9,,,99.7,
"AA-8563","11705","11190","11705","11189",,99.8,,,99.7,
"Wits-1436","10191","8781","10190","8780",,99.9,,,99.5,
"Pta-2307","10653","10225","10653","10225",,100,,,99.7,
"Pta-2812","8338","7939","8338","7939",,100,,,99.8,
"Beta-347865","11174","10765","11174","10765",,99.9,,,99.9,
"Beta-347868","13081","12785","13081","12785",,99.8,,,99.9,
"Beta-347866","13607","13355","13607","13355",,99.7,,,99.8,
"Beta-347867","13598","13355","13598","13356",,99.7,,,99.9,
"Beta-347869","13781","13511","13781","13511",,99.8,,,99.9,
"D-AMS 001836","13745","13434","13745","13434",,99.9,,,99.9,
"D-AMS 002439","14799","14056","14201","14047",,105.8,,,99.7,
"KRU-2","7661","7262","7669","7387",,106.8,,,99.9,
"KRU-3","7672","7264","7682","7381",,108,,,99.8,
"KRU-4","7687","7329","7685","7423",,104.7,,,99.8,
"KRU-5","7780","7426","7778","7430",,103.1,,,99.9,
"KRU-6","8401","8055","8400","8054",,100,,,99.9,
"KRU-7","10492","9905","10492","9905",,99.9,,,99.8,
"KRU-8","11210","10512","11210","10512",,100,,,99.7,
"KRU-9","11614","10710","11614","10711",,99.9,,,99.6,
"KRU-10","12613","11341","12613","11343",,100,,,99.6,
"Pta-1273","10495","9908","10495","9908",,100,,,99.7,
"Pta-1272","11972","11271","11971","11272",,100,,,99.8,
"L-336G","13180","11175","13182","11177",,99.9,,,99.3,
"L-336H","14075","12093","14053","12179",,102.1,,,99.3,
"UCLA-1746-C-2","12469","11180","12470","11180",,100,,,99.5,
"UCLA-1746-A","12481","11180","12574","11179",,100,,,99.4,
"Pta-6823","8320","8030","8320","8030",,99.6,,,99.9,
"Marine20",,,,,,,,,,
"","-85","35","-85.5","43",,96.5,,,99.9,
"Pta-6831","8156","7840","8154","7833",,99.5,,,99.9,
"Pta-6925","11176","10777","11178","10775",,99.6,,,99.8,
"Pta-6848","11283","10914","11280","10908",,99.3,,,99.8,
